code,name,market,marcap,updated_at
005960,동부건설,KOSPI,146399709940.0,2026-02-08T07:59:48.410244
005965,동부건설우,KOSPI,4616219400.0,2026-02-08T07:59:48.410244
005990,매일홀딩스,KOSDAQ,144685547520.0,2026-02-08T07:59:48.410244
006040,동원산업,KOSPI,1838763616900.0,2026-02-08T07:59:48.410244
006050,국영지앤엠,KOSDAQ,47283054265.0,2026-02-08T07:59:48.410244
006060,화승인더,KOSPI,183662400000.0,2026-02-08T07:59:48.410244
006090,사조오양,KOSPI,79433689770.0,2026-02-08T07:59:48.410244
006110,삼아알미늄,KOSPI,411933648000.0,2026-02-08T07:59:48.410244
006120,SK디스커버리,KOSPI,954088460000.0,2026-02-08T07:59:48.410244
006125,SK디스커버리우,KOSPI,48888948750.0,2026-02-08T07:59:48.410244
006140,피제이전자,KOSDAQ,117750000000.0,2026-02-08T07:59:48.410244
006200,한국전자홀딩스,KOSPI,31498510528.0,2026-02-08T07:59:48.410244
006220,제주은행,KOSPI,568112311710.0,2026-02-08T07:59:48.410244
006260,LS,KOSPI,6799650000000.0,2026-02-08T07:59:48.410244
006280,녹십자,KOSPI,1920098193400.0,2026-02-08T07:59:48.410244
006340,대원전선,KOSPI,274385828760.0,2026-02-08T07:59:48.410244
006345,대원전선우,KOSPI,9161094000.0,2026-02-08T07:59:48.410244
006360,GS건설,KOSPI,1635462273900.0,2026-02-08T07:59:48.410244
006370,대구백화점,KOSPI,54108055000.0,2026-02-08T07:59:48.410244
006380,카프로,KOSPI,618539985360.0,2026-02-08T07:59:48.410244
006400,삼성SDI,KOSPI,29816646100000.0,2026-02-08T07:59:48.410244
006405,삼성SDI우,KOSPI,322770252000.0,2026-02-08T07:59:48.410244
006490,인스코비,KOSPI,75405784083.0,2026-02-08T07:59:48.410244
006570,대림통상,KOSPI,32124750000.0,2026-02-08T07:59:48.410244
006620,동구바이오제약,KOSDAQ,143463559680.0,2026-02-08T07:59:48.410244
