date,code,vi_count,updated_at
2026-02-09,006620,0,2026-02-09T01:13:47.983617
2026-02-09,006650,0,2026-02-09T01:13:52.895729
2026-02-09,006660,0,2026-02-09T01:13:57.573031
2026-02-09,006730,0,2026-02-09T01:14:02.225250
2026-02-09,006740,0,2026-02-09T01:14:07.255784
2026-02-09,006800,0,2026-02-09T01:14:11.992723
2026-02-09,006805,0,2026-02-09T01:14:16.867319
2026-02-09,00680K,0,2026-02-09T01:14:22.952690
2026-02-09,006840,0,2026-02-09T01:14:27.826173
2026-02-09,006880,0,2026-02-09T01:14:32.453481
2026-02-09,006890,0,2026-02-09T01:14:36.969841
2026-02-09,0068Y0,0,2026-02-09T01:14:41.640180
2026-02-09,006910,1,2026-02-09T01:14:46.501922
2026-02-09,006920,0,2026-02-09T01:14:51.150101
2026-02-09,006980,0,2026-02-09T01:14:55.718313
2026-02-09,007070,0,2026-02-09T01:15:00.509133
2026-02-09,007110,0,2026-02-09T01:15:05.511740
2026-02-09,007120,0,2026-02-09T01:15:11.007532
2026-02-09,007160,0,2026-02-09T01:15:15.520686
2026-02-09,0071M0,0,2026-02-09T01:15:20.227334
2026-02-09,007210,0,2026-02-09T01:15:24.898971
2026-02-09,007280,0,2026-02-09T01:15:29.761853
2026-02-09,0072Z0,0,2026-02-09T01:15:34.614640
2026-02-09,007310,0,2026-02-09T01:15:39.541263
2026-02-09,007330,0,2026-02-09T01:15:44.034016
2026-02-09,007340,0,2026-02-09T01:15:48.988412
2026-02-09,007370,0,2026-02-09T01:15:53.542545
2026-02-09,007390,0,2026-02-09T01:15:58.222840
2026-02-09,007460,0,2026-02-09T01:16:03.478214
2026-02-09,007530,0,2026-02-09T01:16:08.538672
2026-02-09,007540,0,2026-02-09T01:16:13.724471
2026-02-09,007570,0,2026-02-09T01:16:18.335583
2026-02-09,007575,0,2026-02-09T01:16:23.514575
2026-02-09,007590,0,2026-02-09T01:16:28.339295
2026-02-09,007610,0,2026-02-09T01:16:32.778396
2026-02-09,007660,0,2026-02-09T01:16:37.757669
2026-02-09,007680,0,2026-02-09T01:16:42.518451
2026-02-09,007690,0,2026-02-09T01:16:47.245883
2026-02-09,007700,0,2026-02-09T01:16:51.977976
2026-02-09,007720,0,2026-02-09T01:16:56.353383
2026-02-09,007770,0,2026-02-09T01:17:00.865021
2026-02-09,007810,0,2026-02-09T01:17:05.788414
2026-02-09,007815,0,2026-02-09T01:17:10.510347
2026-02-09,00781K,0,2026-02-09T01:17:15.061020
2026-02-09,007820,0,2026-02-09T01:17:19.885250
2026-02-09,007860,0,2026-02-09T01:17:24.440400
2026-02-09,007980,0,2026-02-09T01:17:29.057966
2026-02-09,008040,0,2026-02-09T01:17:33.627909
2026-02-09,008060,0,2026-02-09T01:17:38.194618
2026-02-09,00806K,0,2026-02-09T01:17:42.721718
2026-02-09,008110,0,2026-02-09T01:17:47.347762
2026-02-09,008250,0,2026-02-09T01:17:51.974721
2026-02-09,008260,0,2026-02-09T01:17:56.590511
2026-02-09,008350,0,2026-02-09T01:18:05.069110
2026-02-09,008355,0,2026-02-09T01:18:09.684060
2026-02-09,008370,0,2026-02-09T01:18:14.536138
2026-02-09,008420,0,2026-02-09T01:18:19.288892
2026-02-09,008470,0,2026-02-09T01:18:23.766118
2026-02-09,008490,0,2026-02-09T01:18:28.267469
2026-02-09,008500,0,2026-02-09T01:18:33.284383
2026-02-09,008600,0,2026-02-09T01:18:37.880599
2026-02-09,008700,0,2026-02-09T01:18:42.726373
2026-02-09,008730,0,2026-02-09T01:18:47.452296
2026-02-09,008770,0,2026-02-09T01:18:52.271839
2026-02-09,008775,0,2026-02-09T01:18:56.956148
2026-02-09,008830,0,2026-02-09T01:19:01.622442
2026-02-09,0088D0,0,2026-02-09T01:19:10.601977
2026-02-09,008930,0,2026-02-09T01:19:15.205824
2026-02-09,008970,0,2026-02-09T01:19:19.975113
2026-02-09,009070,0,2026-02-09T01:19:24.766384
2026-02-09,009140,0,2026-02-09T01:19:29.288348
2026-02-09,009150,0,2026-02-09T01:19:33.881868
