code,sector_code,sector_name,industry_code,industry_name,updated_at,source
160190,03,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-02-10T04:26:45.408680,search_stock_info:industry_fallback
161390,03,고무제품 제조업,032201,고무제품 제조업,2026-02-10T04:26:46.507909,search_stock_info:industry_fallback
161580,03,특수 목적용 기계 제조업,032902,특수 목적용 기계 제조업,2026-02-10T04:26:47.409586,search_stock_info:industry_fallback
166090,03,반도체 제조업,032601,반도체 제조업,2026-02-10T04:26:47.996851,search_stock_info:industry_fallback
171090,03,특수 목적용 기계 제조업,032902,특수 목적용 기계 제조업,2026-02-10T04:26:48.606498,search_stock_info:industry_fallback
174900,03,의료용품 및 기타 의약관련제품 제조업,032103,의료용품 및 기타 의약관련제품 제조업,2026-02-10T04:26:49.206779,search_stock_info:industry_fallback
178320,03,기타 전기장비 제조업,032809,기타 전기장비 제조업,2026-02-10T04:26:50.107846,search_stock_info:industry_fallback
180640,11,기타 금융업,116409,기타 금융업,2026-02-10T04:26:51.006597,search_stock_info:industry_fallback
183300,03,특수 목적용 기계 제조업,032902,특수 목적용 기계 제조업,2026-02-10T04:26:51.565662,search_stock_info:industry_fallback
189300,03,통신 및 방송 장비 제조업,032604,통신 및 방송 장비 제조업,2026-02-10T04:26:52.206279,search_stock_info:industry_fallback
195940,03,의약품 제조업,032102,의약품 제조업,2026-02-10T04:26:53.809032,search_stock_info:industry_fallback
196170,13,자연과학 및 공학 연구개발업,137001,자연과학 및 공학 연구개발업,2026-02-10T04:26:54.407416,search_stock_info:industry_fallback
204270,03,전자부품 제조업,032602,전자부품 제조업,2026-02-10T04:26:55.306461,search_stock_info:industry_fallback
207940,03,기초 의약물질 및 생물학적 제제 제조업,032101,기초 의약물질 및 생물학적 제제 제조업,2026-02-10T04:26:55.907133,search_stock_info:industry_fallback
213420,03,전자부품 제조업,032602,전자부품 제조업,2026-02-10T04:26:57.208625,search_stock_info:industry_fallback
214150,03,의료용 기기 제조업,032701,의료용 기기 제조업,2026-02-10T04:26:57.971188,search_stock_info:industry_fallback
214370,03,기초 의약물질 및 생물학적 제제 제조업,032101,기초 의약물질 및 생물학적 제제 제조업,2026-02-10T04:26:58.563099,search_stock_info:industry_fallback
214430,03,전자부품 제조업,032602,전자부품 제조업,2026-02-10T04:26:59.363201,search_stock_info:industry_fallback
214450,03,의료용품 및 기타 의약관련제품 제조업,032103,의료용품 및 기타 의약관련제품 제조업,2026-02-10T04:27:00.354970,search_stock_info:industry_fallback
218410,03,통신 및 방송 장비 제조업,032604,통신 및 방송 장비 제조업,2026-02-10T04:27:01.511754,search_stock_info:industry_fallback
222080,03,특수 목적용 기계 제조업,032902,특수 목적용 기계 제조업,2026-02-10T04:27:02.161724,search_stock_info:industry_fallback
222800,03,전자부품 제조업,032602,전자부품 제조업,2026-02-10T04:27:03.109033,search_stock_info:industry_fallback
225570,10,소프트웨어 개발 및 공급업,105802,소프트웨어 개발 및 공급업,2026-02-10T04:27:04.347465,search_stock_info:industry_fallback
226950,13,자연과학 및 공학 연구개발업,137001,자연과학 및 공학 연구개발업,2026-02-10T04:27:05.305749,search_stock_info:industry_fallback
232140,03,특수 목적용 기계 제조업,032902,특수 목적용 기계 제조업,2026-02-10T04:27:06.325503,search_stock_info:industry_fallback
237690,03,의약품 제조업,032102,의약품 제조업,2026-02-10T04:27:07.407884,search_stock_info:industry_fallback
240810,03,특수 목적용 기계 제조업,032902,특수 목적용 기계 제조업,2026-02-10T04:27:08.306208,search_stock_info:industry_fallback
241560,03,특수 목적용 기계 제조업,032902,특수 목적용 기계 제조업,2026-02-10T04:27:09.245513,search_stock_info:industry_fallback
241710,03,기타 화학제품 제조업,032004,기타 화학제품 제조업,2026-02-10T04:27:10.047631,search_stock_info:industry_fallback
247540,03,일차전지 및 축전지 제조업,032802,일차전지 및 축전지 제조업,2026-02-10T04:27:10.706260,search_stock_info:industry_fallback
253450,10,"영화, 비디오물, 방송프로그램 제작 및 배급업",105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",2026-02-10T04:27:11.306144,search_stock_info:industry_fallback
257720,07,상품 종합 도매업,074608,상품 종합 도매업,2026-02-10T04:27:12.220536,search_stock_info:industry_fallback
259960,10,소프트웨어 개발 및 공급업,105802,소프트웨어 개발 및 공급업,2026-02-10T04:27:12.779031,search_stock_info:industry_fallback
263750,10,소프트웨어 개발 및 공급업,105802,소프트웨어 개발 및 공급업,2026-02-10T04:27:13.494331,search_stock_info:industry_fallback
267250,11,기타 금융업,116409,기타 금융업,2026-02-10T04:27:14.313264,search_stock_info:industry_fallback
267260,03,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-02-10T04:27:15.106345,search_stock_info:industry_fallback
267270,03,일반 목적용 기계 제조업,032901,일반 목적용 기계 제조업,2026-02-10T04:27:15.719194,search_stock_info:industry_fallback
272210,03,전자부품 제조업,032602,전자부품 제조업,2026-02-10T04:27:16.469127,search_stock_info:industry_fallback
272290,03,전자부품 제조업,032602,전자부품 제조업,2026-02-10T04:27:17.106366,search_stock_info:industry_fallback
277810,03,특수 목적용 기계 제조업,032902,특수 목적용 기계 제조업,2026-02-10T04:27:17.705396,search_stock_info:industry_fallback
278470,03,기타 화학제품 제조업,032004,기타 화학제품 제조업,2026-02-10T04:27:18.606200,search_stock_info:industry_fallback
281740,03,기타 화학제품 제조업,032004,기타 화학제품 제조업,2026-02-10T04:27:19.415779,search_stock_info:industry_fallback
290650,03,의약품 제조업,032102,의약품 제조업,2026-02-10T04:27:20.236469,search_stock_info:industry_fallback
