code,sector_name,industry_name,source
SYY,Consumer Staples,Food Distributors,WIKI_SP500
TMUS,Communication Services,Wireless Telecommunication Services,WIKI_SP500
TROW,Financials,Asset Management & Custody Banks,WIKI_SP500
TTWO,Communication Services,Interactive Home Entertainment,WIKI_SP500
TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",WIKI_SP500
TRGP,Energy,Oil & Gas Storage & Transportation,WIKI_SP500
TGT,Consumer Staples,Consumer Staples Merchandise Retail,WIKI_SP500
TEL,Information Technology,Electronic Manufacturing Services,WIKI_SP500
TDY,Information Technology,Electronic Equipment & Instruments,WIKI_SP500
TER,Information Technology,Semiconductor Materials & Equipment,WIKI_SP500
TSLA,Consumer Discretionary,Automobile Manufacturers,WIKI_SP500
TXN,Information Technology,Semiconductors,WIKI_SP500
TPL,Energy,Oil & Gas Exploration & Production,WIKI_SP500
TXT,Industrials,Aerospace & Defense,WIKI_SP500
TMO,Health Care,Life Sciences Tools & Services,WIKI_SP500
TJX,Consumer Discretionary,Apparel Retail,WIKI_SP500
TKO,Communication Services,Movies & Entertainment,WIKI_SP500
TTD,Communication Services,Advertising,WIKI_SP500
TSCO,Consumer Discretionary,Other Specialty Retail,WIKI_SP500
TT,Industrials,Building Products,WIKI_SP500
TDG,Industrials,Aerospace & Defense,WIKI_SP500
TRV,Financials,Property & Casualty Insurance,WIKI_SP500
TRMB,Information Technology,Electronic Equipment & Instruments,WIKI_SP500
TFC,Financials,Diversified Banks,WIKI_SP500
TYL,Information Technology,Application Software,WIKI_SP500
TSN,Consumer Staples,Packaged Foods & Meats,WIKI_SP500
USB,Financials,Diversified Banks,WIKI_SP500
UBER,Industrials,Passenger Ground Transportation,WIKI_SP500
UDR,Real Estate,Multi-Family Residential REITs,WIKI_SP500
ULTA,Consumer Discretionary,Other Specialty Retail,WIKI_SP500
UNP,Industrials,Rail Transportation,WIKI_SP500
UAL,Industrials,Passenger Airlines,WIKI_SP500
UPS,Industrials,Air Freight & Logistics,WIKI_SP500
URI,Industrials,Trading Companies & Distributors,WIKI_SP500
UNH,Health Care,Managed Health Care,WIKI_SP500
UHS,Health Care,Health Care Facilities,WIKI_SP500
VLO,Energy,Oil & Gas Refining & Marketing,WIKI_SP500
VTR,Real Estate,Health Care REITs,WIKI_SP500
VLTO,Industrials,Environmental & Facilities Services,WIKI_SP500
VRSN,Information Technology,Internet Services & Infrastructure,WIKI_SP500
VRSK,Industrials,Research & Consulting Services,WIKI_SP500
VZ,Communication Services,Integrated Telecommunication Services,WIKI_SP500
VRTX,Health Care,Biotechnology,WIKI_SP500
VTRS,Health Care,Pharmaceuticals,WIKI_SP500
VICI,Real Estate,Hotel & Resort REITs,WIKI_SP500
V,Financials,Transaction & Payment Processing Services,WIKI_SP500
