code,name,market,excd
SMCI,Supermicro,SP500,NYS
SYF,Synchrony Financial,SP500,NYS
SNPS,Synopsys,SP500,NYS
SYY,Sysco,SP500,NYS
TMUS,T-Mobile US,SP500,NYS
TROW,T. Rowe Price,SP500,NYS
TTWO,Take-Two Interactive,SP500,NYS
TPR,"Tapestry, Inc.",SP500,NYS
TRGP,Targa Resources,SP500,NYS
TGT,Target Corporation,SP500,NYS
TEL,TE Connectivity,SP500,NYS
TDY,Teledyne Technologies,SP500,NYS
TER,Teradyne,SP500,NYS
TSLA,"Tesla, Inc.",SP500,NYS
TXN,Texas Instruments,SP500,NYS
TPL,Texas Pacific Land Corporation,SP500,NYS
TXT,Textron,SP500,NYS
TMO,Thermo Fisher Scientific,SP500,NYS
TJX,TJX Companies,SP500,NYS
TKO,TKO Group Holdings,SP500,NYS
TTD,Trade Desk (The),SP500,NYS
TSCO,Tractor Supply,SP500,NYS
TT,Trane Technologies,SP500,NYS
TDG,TransDigm Group,SP500,NYS
TRV,Travelers Companies (The),SP500,NYS
TRMB,Trimble Inc.,SP500,NYS
TFC,Truist Financial,SP500,NYS
TYL,Tyler Technologies,SP500,NYS
TSN,Tyson Foods,SP500,NYS
USB,U.S. Bancorp,SP500,NYS
UBER,Uber,SP500,NYS
UDR,"UDR, Inc.",SP500,NYS
ULTA,Ulta Beauty,SP500,NYS
UNP,Union Pacific Corporation,SP500,NYS
UAL,United Airlines Holdings,SP500,NYS
UPS,United Parcel Service,SP500,NYS
URI,United Rentals,SP500,NYS
UNH,UnitedHealth Group,SP500,NYS
UHS,Universal Health Services,SP500,NYS
VLO,Valero Energy,SP500,NYS
VTR,Ventas,SP500,NYS
VLTO,Veralto,SP500,NYS
VRSN,Verisign,SP500,NYS
VRSK,Verisk Analytics,SP500,NYS
VZ,Verizon,SP500,NYS
VRTX,Vertex Pharmaceuticals,SP500,NYS
VTRS,Viatris,SP500,NYS
VICI,Vici Properties,SP500,NYS
V,Visa Inc.,SP500,NYS
VST,Vistra Corp.,SP500,NYS
VMC,Vulcan Materials Company,SP500,NYS
WRB,W. R. Berkley Corporation,SP500,NYS
GWW,W. W. Grainger,SP500,NYS
WAB,Wabtec,SP500,NYS
WMT,Walmart,SP500,NYS
DIS,Walt Disney Company (The),SP500,NYS
WBD,Warner Bros. Discovery,SP500,NYS
WM,Waste Management,SP500,NYS
WAT,Waters Corporation,SP500,NYS
WEC,WEC Energy Group,SP500,NYS
WFC,Wells Fargo,SP500,NYS
WELL,Welltower,SP500,NYS
WST,West Pharmaceutical Services,SP500,NYS
WDC,Western Digital,SP500,NYS
WY,Weyerhaeuser,SP500,NYS
WSM,"Williams-Sonoma, Inc.",SP500,NYS
WMB,Williams Companies,SP500,NYS
WTW,Willis Towers Watson,SP500,NYS
WDAY,"Workday, Inc.",SP500,NYS
WYNN,Wynn Resorts,SP500,NYS
XEL,Xcel Energy,SP500,NYS
XYL,Xylem Inc.,SP500,NYS
YUM,Yum! Brands,SP500,NYS
